id,toxic,obscene,insult,label,toxic,obscene,insult
f90bcb6719b7e301,1,1,1,111,0.9972944855690002,0.9963319897651672,0.9753615856170654
d0cbf6d10b2c2fd3,1,0,0,100,0.9312453866004944,0.010189895518124104,0.4287014901638031
ee54fdceb9432846,1,1,1,111,0.8186113238334656,0.7049579620361328,0.7506129145622253
42931757c25f186d,1,0,0,100,0.038262929767370224,0.012810355983674526,0.002143572550266981
c2f2ed153a8efe4c,1,1,1,111,0.9977169036865234,0.9961876273155212,0.9289541244506836
7f639b1ed92ecae0,1,1,1,111,0.9632173776626587,0.41670647263526917,0.9175442457199097
230d9f2635cc1a62,1,1,0,110,0.9965317845344543,0.9917758703231812,0.8763195872306824
e7d375c38b8547dc,1,1,1,111,0.9965362548828125,0.9960021376609802,0.9818785786628723
cad35dd1bac8e573,1,0,0,100,0.9764758348464966,0.008755041286349297,0.05671941861510277
534bd27881491505,1,1,1,111,0.9969174861907959,0.9963831901550293,0.9769495725631714
09e8e8ad3963d537,1,1,1,111,0.9961400628089905,0.9956684112548828,0.9816902279853821
e2f91b91a9a63949,1,1,0,110,0.9692868590354919,0.08603211492300034,0.011678156442940235
b08610d1288f7d0b,1,0,0,100,0.9824650883674622,0.6157334446907043,0.9304079413414001
a32be1b37dd9d89e,0,0,0,0,0.009152526035904884,0.004598453640937805,0.00596084538847208
d2ed47ec32596e78,1,1,0,110,0.9947348833084106,0.9933551549911499,0.4105745553970337
4e0bf9d292b5765a,0,1,0,10,0.674733579158783,0.8047308921813965,0.04604874178767204
e90dbadf1854ef26,0,0,0,0,0.00647311843931675,0.005785479675978422,0.007285920437425375
8aa536126dedb019,1,1,0,110,0.9908531308174133,0.9207756519317627,0.875143826007843
b83bb4c9a6cbdf76,1,0,1,101,0.9949384927749634,0.16875609755516052,0.12037184834480286
522752ff5e04b5f6,1,0,0,100,0.9453630447387695,0.012676957994699478,0.011491524055600166
d3e5362399f14318,1,1,1,111,0.9970046877861023,0.993762195110321,0.97898930311203
441cdfa7d61fcb89,1,0,1,101,0.9191418886184692,0.014669705182313919,0.7082879543304443
b04c6e5d22992c5f,0,0,0,0,0.003223155392333865,0.007110300473868847,0.005956529174000025
9973cc45a10db3f5,1,1,1,111,0.9952215552330017,0.9698517918586731,0.9085875153541565
042e184200690387,0,1,0,10,0.959648609161377,0.8108581304550171,0.04766428470611572
3c4a8480bf76ffcb,1,1,0,110,0.9962288737297058,0.9869124889373779,0.4024234116077423
355fd9646cf7fa73,1,0,1,101,0.8652293682098389,0.03936241939663887,0.7747089862823486
